t,I
-61.337,6.70E-06
-60.515,1.88E-07
-59.693,1.19E-06
-58.87,3.12E-06
-58.048,5.39E-06
-57.226,7.65E-06
-56.404,1.04E-05
-55.581,1.37E-05
-54.759,1.76E-05
-53.182,2.59E-05
-51.606,3.74E-05
-50.029,5.32E-05
-48.452,7.29E-05
-47.166,9.14E-05
-45.88,0.00011527
-44.594,0.00014644
-43.308,0.00018387
-42.022,0.00022662
-40.736,0.000281
-39.45,0.00035093
-38.164,0.00043536
-36.913,0.00053088
-35.662,0.00065032
-34.411,0.00080081
-33.159,0.00098261
-32.034,0.0011748
-30.909,0.0014074
-29.783,0.0016894
-28.658,0.0020258
-27.601,0.0023982
-26.544,0.0028404
-25.488,0.003366
-24.431,0.0039878
-23.286,0.0047894
-22.141,0.0057529
-20.996,0.0069116
-19.852,0.008303
-18.492,0.010321
-17.132,0.01283
-15.772,0.015954
-14.412,0.019836
-12.899,0.025264
-11.387,0.032185
-9.8741,0.041021
-8.3614,0.052273
-6.8228,0.06683
-5.2841,0.085499
-3.7454,0.10948
-2.2067,0.14013
-0.80052,0.17535
0.60567,0.21962
2.0119,0.27539
3.4181,0.34511
4.607,0.41725
5.7959,0.50473
6.9848,0.6109
8.1737,0.73926
9.3169,0.88763
10.46,1.066
11.603,1.2805
12.746,1.5381
14.122,1.9172
15.498,2.39
16.874,2.98
18.249,3.7156
19.78,4.747
21.311,6.0664
22.842,7.7562
24.372,9.9147
25.919,12.694
27.466,16.264
29.013,20.858
30.56,26.736
31.946,33.351
33.332,41.641
34.718,52.051
36.104,65.024
37.271,78.351
38.438,94.453
39.606,113.92
40.773,137.38
41.916,164.96
43.059,198.11
44.202,237.97
45.344,285.83
46.738,357.27
48.131,446.63
49.524,558.45
50.917,698.23
52.46,893.82
54.003,1144.5
55.546,1466.3
57.09,1878
58.637,2404.3
60.185,3080.6
61.732,3951.2
63.28,5064.5
64.632,6282.2
65.984,7799.6
67.337,9693.8
68.689,12040
69.822,14424
70.954,17285
72.087,20722
73.22,24836
74.341,29697
75.462,35512
76.583,42467
77.705,50771
78.994,62299
80.284,76439
81.573,93787
82.863,1.15E+05
84.049,1.38E+05
85.234,1.67E+05
86.42,2.01E+05
87.606,2.41E+05
87.914,2.52E+05
88.221,2.60E+05
88.529,2.66E+05
88.837,2.72E+05
89.235,2.76E+05
89.633,2.79E+05
90.031,2.81E+05
90.429,2.81E+05
90.877,2.81E+05
91.324,2.80E+05
91.771,2.78E+05
92.219,2.75E+05
92.739,2.72E+05
93.258,2.68E+05
93.778,2.64E+05
94.298,2.59E+05
94.904,2.54E+05
95.51,2.49E+05
96.116,2.44E+05
96.722,2.39E+05
97.446,2.33E+05
98.17,2.27E+05
98.895,2.21E+05
99.619,2.15E+05
100.52,2.08E+05
101.43,2.01E+05
102.33,1.95E+05
103.23,1.89E+05
104.41,1.81E+05
105.58,1.74E+05
106.75,1.67E+05
107.93,1.60E+05
109.36,1.52E+05
110.79,1.45E+05
112.22,1.38E+05
113.65,1.32E+05
115.23,1.26E+05
116.81,1.19E+05
118.39,1.13E+05
119.96,1.08E+05
121.44,1.03E+05
122.91,98624
124.38,94287
125.85,90178
127.21,86589
128.57,83161
129.93,79878
131.29,76745
132.68,73718
134.06,70822
135.44,68046
136.82,65393
138.32,62662
139.81,60054
141.31,57556
142.8,55172
144.36,52814
145.92,50559
147.47,48396
149.03,46334
150.53,44445
152.04,42633
153.54,40887
155.04,39218
156.46,37725
157.87,36287
159.28,34898
160.69,33565
162.09,32306
163.48,31093
164.88,29922
166.28,28796
167.75,27663
169.22,26573
170.69,25523
172.16,24515
173.7,23504
175.25,22533
176.79,21598
178.34,20702
179.87,19858
181.4,19046
182.93,18262
184.46,17511
185.91,16836
187.35,16185
188.8,15555
190.25,14950
191.64,14393
193.04,13855
194.43,13335
195.83,12835
197.27,12341
198.7,11866
200.14,11407
201.58,10966
203.11,10518
204.64,10087
206.17,9672.2
207.7,9274.5
209.26,8888
210.82,8516.6
212.38,8158.5
213.94,7815.8
215.43,7504.8
216.92,7205.3
218.41,6915.7
219.9,6638.1
221.3,6388.6
222.7,6147.8
224.1,5914.8
225.51,5690.8
226.91,5476
228.32,5269
229.73,5068.9
231.13,4876.5
232.63,4680.5
234.13,4491.9
235.63,4310.3
237.12,4136.1
238.7,3961.5
240.27,3793.8
241.85,3632.4
243.42,3478
243.82,3440.6
244.21,3403.6
244.61,3366.9
245,3330.7
245.07,3324.8
245.13,3319.5
245.2,3314.9
245.27,3310.7
245.6,3297.8
245.93,3295.8
246.27,3302.8
246.6,3317.2
246.94,3338.6
247.29,3365.4
247.63,3396.9
247.97,3432.3
248.4,3480.4
248.82,3532.8
249.25,3588.5
249.67,3647.1
250.2,3722.5
250.72,3800.9
251.25,3882.2
251.77,3965.8
252.44,4074.8
253.1,4187.2
253.77,4302.6
254.43,4420.9
255.31,4581.8
256.19,4747.8
257.08,4919
257.96,5095.4
259.22,5357.5
260.49,5631.1
261.75,5916.9
263.01,6215
264.54,6591.7
266.06,6988.7
267.59,7407.3
269.11,7848.1
270.64,8311.6
272.16,8800.5
273.69,9316.6
275.21,9860.2
276.74,10431
278.26,11034
279.79,11672
281.31,12343
282.84,13047
284.36,13791
285.89,14578
287.41,15407
288.94,16275
290.46,17193
291.99,18165
293.51,19189
294.98,20219
296.45,21306
297.92,22458
299.39,23666
300.77,24843
302.14,26081
303.52,27385
304.89,28749
305.17,29030
305.45,29313
305.72,29599
306,29888
306.46,30352
306.92,30781
307.39,31181
307.85,31562
308.31,31929
308.77,32285
309.23,32632
309.7,32973
310.33,33438
310.97,33898
311.61,34355
312.24,34810
313,35351
313.76,35892
314.51,36434
315.27,36979
316.25,37690
317.23,38406
318.21,39126
319.19,39851
320.55,40864
321.9,41887
323.26,42921
324.61,43966
326.14,45157
327.66,46364
329.19,47588
330.71,48829
332.24,50086
333.76,51363
335.29,52658
336.81,53971
338.34,55303
339.86,56654
341.39,58027
342.91,59419
344.44,60828
345.96,62259
347.49,63714
349.01,65188
350.54,66676
352.06,68188
353.59,69727
355.11,71284
356.64,72851
358.16,74443
359.69,76066
361.21,77705
362.66,79263
364.11,80844
365.55,82455
367,84079
367.5,84590
367.99,85021
368.49,85389
368.98,85712
369.48,86003
369.98,86268
370.47,86511
370.97,86738
371.66,87039
372.35,87322
373.04,87591
373.74,87852
374.56,88160
375.39,88460
376.22,88753
377.05,89043
378.14,89421
379.23,89793
380.32,90158
381.41,90517
382.89,90996
384.36,91464
385.84,91918
387.31,92361
388.79,92793
390.26,93211
391.74,93615
393.21,94005
394.69,94382
396.16,94744
397.64,95091
399.11,95423
400.59,95740
402.06,96041
403.54,96326
405.01,96594
406.49,96847
407.96,97083
409.44,97302
410.91,97505
412.39,97690
413.86,97859
415.34,98010
416.81,98144
418.29,98260
419.76,98359
421.24,98441
422.71,98505
423.53,98532
424.36,98554
425.18,98571
426,98582